新浪,SINA
搜狐,SOHU
网易,NTES
百度,BIDU
第九城市,NCTY
空中网,KZ
金融界,JRJC
携程网,CTRP
前程无忧,JOBS
UT斯达康,UTSI
泰克飞石,CNTF
中芯国际,SMI
炬力,ACTS
新东方,EDU
华视传媒,VISN
航美传媒,AMCN
中国铝业,ACH
中海油,CEO
玉柴国际,CYD
广深铁路,GSH
中移动,CHL
中国人寿,LFC
瑞立集团,SORL
中国电信,CHA
中石化,SNP
上石化,SHI
兖州煤业,YZC
东方航空,CEA
富基旋风,EFUT
华能电力,HNP
南方航空,ZNH
阿特斯,CSIQ
比克电池,CBAK
中汽系统,CAAS
中国天然,CHNR
新龙亚洲,NDAC
富维薄膜,FFHL
南太电子,NTE
正保教育,DL
永新视博,STV
鑫苑置业,XIN
橡果国际,ATV
昱辉阳光,SOL
天合光能,TSL
英利,YGE
泛华保险,CISG
奇景光电,HIMX
晶澳太阳,JASO
凹凸科技,OIIM
慧荣科技,SIMO
中石油,PTR
中国联通,CHU
日月光半,ASX
友达光电,AUO
台积电,TSM
联电,UMC
矽品,SPIL
和信超媒,GIGM
畅游,CYOU
华住酒店,HTHT
中华电信,CHT
圣元国际,SYUT
联游网络,CCGM
搜房网,SFUN
多元印刷,DYNP
蓝汛,CCIH
诺亚财富,NOAH
易车网,BITA
希尼亚,XNY
康迪车业,KNDI
中网在线,CNET
ATA公司,ATAI
利华国际,LIWA
山东昱合,YUII
太宇机电,HEAT
同心国际,TXIC
晶科能源,JKS
绿诺科技,RINO
大全新能,DQ
瑞达电源,CRTP
中国生物,CHBT
汉广厦房,HGSH
奥瑞金种,SEED
赛诺国际,BEST
万得汽车,WATG
中国高速,CCME
福麒国际,FUQI
环球资源,GSOL
海湾资源,GURE
双威教育,CAST
新奥混凝,CADC
JF中国基,JFC
武汉通用,WUHN
艾格菲国,FEED
中国脐带,CO
研控科技,RCON
中强能源,ABAT
和利时自,HOLI
联合信息,KONE
天人果汁,SPU
中国基础,CIIC
中国医药,CPHI
高科能源,APWR
盈丰科技,CREG
中环球船,SINO
江波制药,JGBO
西蓝公司,CHNG
中国清洁,SCEI
中国风能,CLNT
智远天下,CHIO
鑫达集团,CXDC
岳鹏成电,CELM
九洲大药,CJJD
泰和诚医,CCM
数百亿,SBAY
绿润集团,ALN
奥星制药,BSPM
华达产业,CDII
中国汽车,CALI
科兴生物,SVA
中国绿色,CGA
圣恺工业,VALV
新东方能,NOEC
博润,BORN
东方纸业,ONP
奥盛创新,OSN
世纪互联,VNET
人人公司,RENN
网秦,NQ
凤凰新媒,FENG
正兴集团,ZX
中国信息,CNIT
唯品会,VIPS
欢聚时代,YY
德卫,DSWL
AAA能源,AAAE
亚太电线,APWC
南茂科技,IMOS
瑞声,AACAY
中国农行,ACGBY
宝生集团,AGVO
安徽海螺,AHCHY
中国国航,AICAF
爱大制药,AIDA
泛蓝国际,AIVI
亚洲软木,AKRK
中铝公司,ALMMF
澳科控股,AMVGF
鞍钢,ANGGY
华宝明祥,CMFO
爱美柯,AMCG
美国金属,AMGY
豪鹏国际,HPJ
旭明光电,LEDS
艺术精品,ARTB
中国银行,BACHY
华晨中国,BCAUY
北京世纪,BCHM
交通银行,BCMXY
中国企发,BDEV
恒异电子,BNSO
华瑞服装,EVK
新能源系,NEWN
中国新城,CNR
亚洲娱乐,EGT
清源啤酒,BEER
北辰实业,BEIJF
百丽,BELLY
亚洲生物,BFAR
中银香港,BHKLY
首都国际,BJCHF
北京控股,BJINY
东亚银行,BKEAY
上为,SGOC
欧陆科仪,CLWT
汉科环境,BOTRF
邦泰,BOTX
波司登,BSDGY
百隆东方,BSHG
晶立,IDI
比亚迪,BYDDF
中国 Cab,CABLF
绿色材料,CAGM
公路控股,HIHO
金凰珠宝,KGJI
能发伟业,NFEC
新濠博亚,MPEL
中国海外,CAOVY
华润水泥,CARCY
中国中材,CASDY
中国综合,CBEH
中国溢佰,CBGH
中海石油,CBLUY
中国建材,CBUMY
CBR酿造,CBRAF
西斯班,SSW
中交股份,CCCGY
怡和控股,JMHLY
泰邦生物,CBPO
新华财经,XHFNF
泰科铁塔,HGHN
青岛人印,JPAK
电能实业,HGKGY
科元石化,KEYP
惠恒医疗,HHGM
信星鞋业,KMSWF
百丰电子,HIGR
三八妇乐,XNFHF
恒鼎实业,HIIDY
新奥能源,XNGSY
新华悦动,XSELY
信义玻璃,XYIGF
港机工程,HKAEY
盈德气体,YINGY
叶氏化工,YIPCF
佘太翠玉,JADA
亚亿国际,YYINE
嘉里建设,KRYPY
招金矿业,ZHAOF
中国人财,PPCCY
德昌电机,JELCY
港交所,HKXCF
美商百胜,PSGP
红冠鞋业,QING
昆仑生物,KURU
乳多宝,RDBO
荣福水产,RNFU
人和商业,RNHEF
江苏宁沪,JEXYF
成渝高速,SEXHF
嘉华国际,KWHAY
江苏宁沪,JEXYY
上海实业,SGHIY
江铜集团,JIXAY
香格里拉,SHALY
乐君传媒,LEGE
墨龙石油,SHANF
神冠控股,SHGXY
重汽,香
龙工控股,LKHLY
国药,SHTDF
信得,SHTGY
信利国际,TRUHY
青岛啤酒,TSGTF
中国航信,TSYHY
创科实业,TTNDY
玄武集团,XNWU
理文造纸,LMPMY
莲花制药,LTUS
马鞍山钢,MAANF
文化东方,MAORF
冶金科工,MLLUY
新逻辑动,NANI
无线电视,TVBCY
光大控股,CEVIY
天鑫矿业,TXNM
纳伟仕视,NIVS
优按网络,UOLI
康采恩,CHME
来宝集团,NOBGF
中国陶瓷,CCCL
永亨银行,WGHGY
维他奶,VTSYF
新世界百,NWRLY
罗欣药业,SLUXY
银燕木业,SLVA
中建担保,SNAS
中化化肥,SNFRY
信和置业,SNLAY
东方石油,OPEI
联合经纪,UIBGF
三金国际,WGLD
